id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,20,100,1.0,50,50,1.0,152,5,2,201203.158123,-1.9170114727498662,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,50,1.0,650,5,2,211894.793848,-0.9060171001399195,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,50,50,1.0,750,5,2,325826.264149,-0.9339676542523104,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,326,5,2,748297.377814,-2.442277778378149,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,50,1.0,10,5,2,137174.379083,-0.452736182128188,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,526,5,2,1302666.947977,-2.42869701454884,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1050,5,2,1759500.568534,-1.7627281361727916,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,50,1.0,128,5,2,166159.832676,-0.9068227833186797,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,200,200,1.0,458,5,2,1058463.055988,-1.0598153626027156,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,200,200,1.0,558,5,2,1198242.663947,-1.1802173376412195,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,200,1.0,198,5,2,596191.926913,-0.5178265572338276,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1036,5,2,2143355.509628,-1.7333316890284427,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,858,5,2,1218517.91599,-1.749360911041663,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,20,100,1.0,50,50,1.0,16,5,2,139344.52449,-0.6043790569561331,,,0
6,n,-n,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,636,5,2,226722.242959,-0.9042147814614356,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,320,5,2,582775.021609,-1.0543229293763596,,,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,200,200,1.0,412,5,2,1163972.134652,-1.754711026164332,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,50,200,1.0,232,5,2,586933.787671,-3.8283002170380294,,,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,50,1.0,54,5,2,140236.256035,-0.9066708994630933,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,50,1.0,184,5,2,142506.010976,-0.5662002573298394,,,0
2,n,-n,0.5,100.0,False,50,100,100,1.0,50,50,1.0,594,5,2,221402.896769,-0.9065623569421527,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,100,100,1.0,200,200,1.0,960,5,2,1758941.747918,-0.5281191407683113,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,100,100,1.0,50,200,1.0,896,5,2,1268729.12894,-2.3873951658766877,,,0
