id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
7,n,-n,0.5,10000.0,True,50,100,100,1.0,400,400,1.0,1403,5,2,8140291.461608,-1.035659876867321,10412070.933731658,293921.9092544496,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,200,200,1.0,988,5,2,1758433.567915,-1.7633844519848334,,,0
10,n**2+n,-n**2+n,0.5,1000.0,True,50,100,100,1.0,400,400,1.0,1441,5,2,11419244.45916,-1.147839022182175,95198.48197450857,8597.836642172027,0
9,n**2+20,-n**2+20,0.5,1000.0,True,50,20,100,1.0,50,200,1.0,283,5,2,615360.906557,-1.1520568464106093,20728.900303801292,1957.1621265830531,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,400,400,1.0,1386,5,2,8761523.922246,-1.1056042948079645,,,0
14,n**3/0.5,-n**3/0.5,0.5,100000000.0,True,50,100,100,1.0,50,50,1.0,713,5,2,314863.306296,-1.3163453314236608,6428.889620388402,1139.685132281663,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,200,200,1.0,1116,5,2,2050223.313533,-1.8318204846517459,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,200,1.0,298,5,2,675481.828125,-1.722185086827041,,,0
2,n,-n,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1733,5,2,1841026.746954,-1.0242971805264343,10009170.697126953,191253.13688028223,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,20,100,1.0,50,400,1.0,1894,5,2,2082682.123061,-0.8965736284605363,,,0
3,n**2,-n**2,0.5,100.0,True,50,100,100,1.0,50,50,1.0,611,5,2,304810.07596,-1.1172737792081806,30189.927964166898,2242.1317093889725,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,20,100,1.0,50,200,1.0,315,5,2,755513.770207,-1.0124952477896965,104826516.43172581,1001739.6721607662,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,50,400,1.0,1716,5,2,1791660.180997,-0.5457687937485057,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,True,50,20,100,1.0,50,400,1.0,1889,5,2,2287505.507903,-1.0826770986745087,361384327.20961034,14018070.230599524,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,100,100,1.0,50,50,1.0,726,5,2,305655.162891,-1.917053361471929,,,0
